label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,-348.8072779203512,-1202.8147414312875,-3.458197,-12.422883,5.235509102688072,0.5319908730168399,8.00888,-3.215706
B6,-874.0927935243777,-1841.4589255772137,-7.08238,-12.544682,5.518381367962809,-1.1054433240052042,8.101891,-3.3471105
B6,-1245.3477871067153,-1152.6605576809577,-4.2901196,-18.683735,5.394573928750962,-0.38877166793366624,7.9489584,-2.503558
B6,-631.0740855210408,-372.226248337419,-1.3330733,0.5861016,5.473458293842915,-0.8454016485594579,8.520633,-4.1155944
B6,-4604.5150858522875,442.03748229739637,-49.792767,27.106365,5.446967790542093,-0.6920587396708786,5.0808616,-5.1951947
B6,3488.5758157286077,-2041.2622284546087,38.574753,-22.467955,5.473530236975188,-0.8458180985242311,11.79865,-1.8689457
B6,67.10440045116374,-3957.707700777017,9.59987,-33.309883,5.468532685840423,-0.8168892775192398,9.105779,-2.2856896
B6,-2140.166013035544,-353.95876723978625,-10.8324795,0.7528638,5.461745451221681,-0.7776006959497961,7.559291,-4.1344156
B6,-2309.227120980933,-2408.68932600105,-13.125084,-16.988258,5.49599630538205,-0.9758651663991094,7.5930634,-3.157923
B6,3758.488126922647,-2324.6583154202385,33.366325,-20.050474,5.612186043521195,-1.6484410033662504,11.646578,-2.0619018
B6,-3531.300932523629,-1400.9909979340728,-35.86611,-25.30508,5.478814820905579,-0.8764084373693337,6.368985,-3.2748866
B6,-4424.303296754106,581.7538231032147,-39.001286,2.6921906,5.394984787300995,-0.3911499634489678,5.4603243,-4.651276
B6,-347.19445925289705,-1204.2535614344815,-3.4568822,-12.421918,5.744507862087218,-2.4143989898153713,7.902587,-3.148384
B6,-452.58634545468317,-378.49166498913996,-4.691268,-1.3919632,5.3096936628772085,0.10256617976615967,8.311137,-4.081241
B6,1635.7077275719546,-1847.6479799391693,23.17652,-27.590504,5.394858187596298,-0.3904171284871656,10.313518,-2.2976358
B6,1387.7662174123836,467.7440299024798,5.321352,9.433432,5.4494428366081,-0.7063857895980938,9.302765,-4.2931933
B6,-4724.14542831819,-3194.5122311659543,-36.53671,-19.918413,5.351657245467776,-0.14034418508225072,5.6811523,-2.5292313
B6,-1816.7197733959285,-1978.0568879007355,-10.7671,-17.519516,5.504037967399078,-1.0224151255289957,7.8241973,-2.6581025
B6,2887.6140295449904,1236.4991179066435,24.425533,10.622908,5.505226293106732,-1.0292938668895792,11.191859,-4.5799594
B6,-3018.8477953007596,-1452.294998523541,-28.367184,-11.16824,5.461265628168631,-0.7748231925605547,6.4915304,-3.9024243
B6,-3.24666324625967,-1496.957751828988,1.2497852,-37.13231,5.4474052022004145,-0.6945907404902356,8.676387,-3.3098438
B6,-3898.3224311549684,739.1382260738721,-28.880762,28.693314,5.1707140099296085,0.9070637016613792,5.9649053,-5.309621
B6,-274.70128198871674,-494.9844790968792,-3.7097523,-18.072998,5.433371440898162,-0.6133549196265022,8.056512,-2.569997
B6,-5739.679637365995,-2101.0763684904196,-42.14645,-16.934156,5.448409996999738,-0.7004070949631365,5.582596,-2.549085
B6,-977.3357154658414,-945.4027098219645,-5.561992,-0.49569973,5.417010142637694,-0.518645919953762,8.290553,-3.765623
B6,4018.1383030795055,-1921.3445624011995,42.483315,-14.821892,5.440126516179429,-0.6524573436774849,11.985402,-2.5529015
B6,166.609279104869,-6247.760960472724,10.029509,-29.611872,5.3932586240182765,-0.3811578958773507,8.878745,-1.7615646
B6,-4059.5911239868115,-835.0758238148916,-43.400597,-8.092903,5.512959007606319,-1.0740554526363373,5.8915243,-3.3533833
B6,3013.161940815566,-174.21037982701563,29.972206,-2.671137,5.4495132264612645,-0.7067932482529322,11.544397,-3.5667722
B6,-2636.981210878885,-1016.6091838456176,-13.885952,36.42868,5.494106616143053,-0.9649265125911555,7.7885036,-2.7668343
B6,3308.3214891957678,-2038.4543868078015,34.34955,-18.184246,5.488262407850893,-0.9310967325565922,11.532041,-2.3447394
